Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
22,1724,person,474.92,531.14,56.72,146.09
22,1712,person,514.63,545.85,46.25,142.07
22,1723,person,1154.12,531.88,27.92,105.74
22,1722,person,1253.02,520.36,29.18,78.72
22,1718,motorcycle,461.09,577.69,63.01,99.91
23,1706,traffic light,843.11,251.64,29.39,97.19
23,1707,person,397.33,531.17,59.48,159.54
23,1708,person,286.18,547.36,54.01,137.42
23,1709,traffic light,113.1,160.33,36.48,76.34
23,1710,person,875.77,543.49,37.06,95.8
23,1711,person,1117.96,519.52,40.53,110.84
23,1713,person,1168.24,536.93,39.95,110.53
23,1714,person,716.74,508.62,27.09,88.26
23,1715,person,1048.21,525.74,42.76,101.9
23,1716,traffic light,202.84,332.23,26.56,107.98
23,1717,person,820.05,531.81,40.49,116.34
23,1719,traffic light,1004.19,368.15,25.71,74.29
23,1720,traffic light,1002.9,350.53,25.13,40.26
23,1721,person,671.35,491.84,19.89,56.63
23,1763,person,828.58,556.38,49.63,70.74
23,1712,person,514.04,546.13,47.03,143.1
23,1723,person,1154.34,532.63,28.32,107.93
23,1722,person,1252.92,520.23,29.11,78.0
23,1718,motorcycle,459.8,579.3,62.34,99.79
24,1706,traffic light,843.13,251.66,29.38,97.18
24,1707,person,397.76,531.06,58.91,158.12
24,1708,person,286.46,547.7,53.95,137.7
24,1709,traffic light,113.08,160.47,36.7,76.44
24,1710,person,877.02,543.6,36.99,95.76
24,1711,person,1117.77,519.1,40.47,110.42
24,1713,person,1167.93,536.35,40.33,111.2
24,1714,person,716.76,508.71,26.95,87.7
24,1715,person,1047.76,526.32,42.35,100.72
24,1716,traffic light,202.85,331.9,26.49,107.8
24,1717,person,820.02,532.03,39.98,115.59
24,1719,traffic light,1004.37,368.27,25.74,74.55
24,1720,traffic light,1002.88,350.75,25.2,40.54
24,1721,person,671.33,491.85,20.03,56.78
24,1712,person,514.98,545.65,47.91,144.93
24,1723,person,1154.58,532.1,27.91,106.8
24,1722,person,1252.08,521.07,29.15,76.78
24,1788,person,433.21,504.93,33.62,94.15
25,1706,traffic light,842.75,251.71,29.42,97.4
25,1707,person,398.26,531.16,58.69,157.72
25,1708,person,286.62,547.88,53.8,137.57
25,1709,traffic light,113.12,160.6,36.66,76.0
25,1710,person,877.89,543.76,36.98,95.96
25,1711,person,1117.72,519.46,40.88,111.36
25,1713,person,1167.7,536.1,40.57,111.49
25,1714,person,716.71,508.51,26.98,87.65
25,1715,person,1047.44,526.39,42.08,99.68
25,1717,person,820.15,532.25,39.75,115.57
25,1720,traffic light,1002.63,349.88,24.25,39.0
25,1721,person,671.25,491.66,20.16,56.89
25,1712,person,515.97,544.64,48.47,146.17
25,1723,person,1154.66,531.87,27.78,106.63
25,1722,person,1253.13,521.15,28.82,75.54
25,1788,person,434.01,505.38,33.67,94.37
25,1763,person,828.19,556.64,49.0,69.89
26,1706,traffic light,842.6,251.77,29.47,97.62
26,1707,person,399.03,531.2,58.57,157.46
26,1708,person,286.73,548.02,53.71,137.47
26,1709,traffic light,113.14,160.45,36.57,75.4
26,1710,person,878.5,544.06,36.89,95.35
26,1711,person,1117.54,519.88,40.39,109.73
26,1713,person,1167.47,535.99,40.67,111.45
26,1714,person,716.71,508.32,27.23,88.34
26,1715,person,1047.56,526.18,42.46,100.44
26,1717,person,819.94,533.19,39.88,116.67
26,1720,traffic light,1002.61,350.07,24.44,39.42
26,1721,person,671.18,491.4,20.4,57.3
26,1712,person,516.06,543.71,48.71,145.83
26,1723,person,1154.78,532.99,28.08,108.39
26,1722,person,1253.19,520.88,29.13,75.92
26,1788,person,435.11,504.67,33.49,93.94
27,1706,traffic light,842.55,251.82,29.5,97.76
27,1707,person,399.81,530.96,58.35,156.78
27,1708,person,286.85,548.14,53.58,137.19
27,1709,traffic light,113.13,160.46,36.62,75.16
27,1710,person,879.6,543.86,37.05,95.59
27,1711,person,1117.48,520.62,40.58,110.16
27,1713,person,1167.21,535.89,40.79,111.44
27,1714,person,716.99,508.3,27.4,88.61
27,1715,person,1047.56,526.61,42.91,101.68
27,1717,person,820.16,531.93,39.59,116.38
27,1720,traffic light,1002.6,350.39,24.72,40.03
27,1721,person,671.22,491.93,19.92,55.98
27,1712,person,516.25,542.76,48.54,144.8
27,1723,person,1155.06,533.82,28.38,109.88
27,1722,person,1252.3,520.62,29.84,77.01
27,1788,person,434.87,505.89,33.2,93.44
27,1724,person,476.88,531.47,58.34,152.05
27,1763,person,830.1,558.42,46.39,65.16
28,1706,traffic light,842.51,251.83,29.49,97.8
28,1707,person,400.07,530.55,57.93,155.71
28,1708,person,287.01,548.41,53.53,137.12
28,1709,traffic light,113.09,160.6,36.83,75.27
28,1710,person,880.28,543.84,37.22,95.98
28,1711,person,1117.19,520.98,39.98,108.1
28,1713,person,1167.17,535.79,40.91,111.51
28,1714,person,717.57,508.35,27.61,88.96
28,1715,person,1047.29,526.96,43.91,104.53
28,1717,person,820.89,531.26,39.65,116.49
28,1720,traffic light,1002.61,350.57,24.75,40.24
28,1721,person,671.15,492.23,19.68,55.32
28,1712,person,515.51,542.33,48.83,144.77
28,1723,person,1154.93,534.04,28.57,111.44
28,1722,person,1251.61,521.06,30.07,76.74
28,1788,person,435.73,506.35,32.8,92.35
28,1763,person,829.88,557.17,48.36,67.48
29,1706,traffic light,842.46,251.84,29.44,97.75
